Entry_Date,Exit_Date,Entry_Price,Exit_Price,Shares,P&L,P&L%,Signal_at_Entry,Correct
2024-09-03,2024-09-10,542.1785888671875,538.9475708007812,165,-622.0443301391642,-0.5959324349486095,0.5304674710579899,False
2024-09-10,2024-09-17,538.9475708007812,552.9715576171875,165,2222.717517700192,2.602105951710487,0.5529151016790786,True
2024-09-18,2024-09-25,551.3316040039062,561.5336303710938,165,1590.681301574703,1.8504338030139955,0.5246733677269064,True
2024-09-26,2024-10-03,563.7599487304688,559.3468627929688,164,-815.4789792480442,-0.7827952211642231,0.5294355409514181,False
2024-10-03,2024-10-10,559.3468627929688,567.5328369140625,164,1249.4243706054694,1.4634879831485925,0.5271926809128856,True
2024-10-10,2024-10-17,567.5328369140625,573.6599731445312,163,905.2166299438541,1.0796091136831443,0.5245928146048173,True
2024-10-18,2024-10-25,575.8665771484375,570.3994140625,162,-978.0851249999978,-0.9493801694499537,0.536719818047885,False
2024-10-25,2024-11-01,570.3994140625,562.5187377929688,162,-1367.7975911865215,-1.3816066558349882,0.542116540604933,False
2024-11-01,2024-11-08,562.5187377929688,589.2635498046875,162,4237.198850830071,4.754474867210923,0.5642429409911847,True
2024-11-08,2024-11-15,589.2635498046875,577.00927734375,161,-2065.836359863286,-2.079591120984692,0.5332931669453591,False
2024-11-15,2024-11-22,577.00927734375,586.6236572265625,161,1453.4687523193425,1.6662435528024933,0.5660984440778173,True
2024-11-22,2024-12-02,586.6236572265625,594.6224975585938,160,1184.674853515622,1.3635386560862717,0.551482121426257,True
2024-12-02,2024-12-09,594.6224975585938,595.6567993164062,160,70.18319335937849,0.17394258744987123,0.5742993901945483,True
2024-12-09,2024-12-16,595.6567993164062,597.7352905273438,159,235.4401913452166,0.34894107031480104,0.5343546304164281,True
2024-12-16,2024-12-23,597.7352905273438,587.7875366210938,159,-1675.1510894165112,-1.6642406871231752,0.5705309702360477,False
2024-12-23,2024-12-31,587.7875366210938,579.2774658203125,159,-1445.2063743896433,-1.4478140944773177,0.5529356801350562,False
2024-12-31,2025-01-08,579.2774658203125,582.6477661132812,159,443.2367517700186,0.5818110476982108,0.5606117405769008,True
2025-01-08,2025-01-16,582.6477661132812,584.77294921875,159,244.92521484375175,0.3647457742171456,0.5444787919819107,True
2025-01-16,2025-01-24,584.77294921875,600.913330078125,158,2455.235869628901,2.760110720056108,0.5236641985525672,True
2025-01-24,2025-01-31,600.913330078125,594.8348388671875,158,-1054.385515869144,-1.0115420821414034,0.5593986027567028,False
2025-01-31,2025-02-07,594.8348388671875,593.7969360351562,157,-256.1768635864282,-0.17448588485634575,0.5642053546836155,False
2025-02-07,2025-02-14,593.7969360351562,602.623291015625,157,1291.1258752441354,1.4864264944516536,0.5557980823026777,True
2025-02-14,2025-02-24,602.623291015625,590.2783203125,157,-2030.8340966796823,-2.0485385956987345,0.5355784753029812,False
2025-02-24,2025-03-03,590.2783203125,576.9942626953125,157,-2176.1851451416005,-2.2504735749323768,0.5364257758142004,False
2025-03-03,2025-03-10,576.9942626953125,554.073486328125,157,-3685.5514270019485,-3.9724444156719496,0.5447171873618305,False
2025-03-10,2025-03-17,554.073486328125,560.5671997070312,157,931.5039501342835,1.1719949680213837,0.5583771869930546,True
2025-03-17,2025-03-24,560.5671997070312,569.1236572265625,157,1254.0114163818362,1.526392825695666,0.5336625446734156,True
2025-03-24,2025-03-31,569.1236572265625,554.5604858398438,156,-2358.3661721191456,-2.5588764764563843,0.5270735829483129,False
2025-03-31,2025-04-07,554.5604858398438,500.025390625,156,-8585.47881445312,-9.833930943033941,0.5267850257773083,False
2025-04-07,2025-04-14,500.025390625,534.4654541015625,158,5357.084487548826,6.887662931179284,0.6103001466567807,True
2025-04-14,2025-04-22,534.4654541015625,522.697998046875,157,-1929.5541862793034,-2.2017243517578944,0.5681324952828326,False
2025-04-22,2025-04-29,522.697998046875,549.5341796875,157,4127.00365136718,5.13416575936807,0.5865729936319365,True
2025-04-29,2025-05-06,549.5341796875,553.9755249023438,156,606.42967163086,0.8082018151026382,0.5525199592253788,True
2025-05-06,2025-05-13,553.9755249023438,581.7734985351562,155,4218.511020812992,5.017906456736121,0.5883228891797428,True
2025-05-13,2025-05-20,581.7734985351562,587.7315673828125,154,827.0319411621022,1.024121735118233,0.552316575676208,True
2025-05-20,2025-05-28,587.7315673828125,582.65576171875,154,-871.403059570308,-0.8636265168919244,0.5496017681745895,False
2025-05-28,2025-06-04,582.65576171875,590.7849731445312,154,1160.917673706048,1.3951996976398595,0.562905815234644,True
2025-06-04,2025-06-11,590.7849731445312,596.1681518554688,153,732.4126155395497,0.9111908656519896,0.5479911540780568,True
2025-06-11,2025-06-18,596.1681518554688,592.281982421875,153,-685.2030666503852,-0.6518579399954039,0.528146694941173,False
2025-06-20,2025-06-27,590.8909301757812,611.4032592773438,153,3044.841653869633,3.4714239217481957,0.5682568233744542,True
2025-06-30,2025-07-08,614.3265380859375,616.8023681640625,151,280.71318420409807,0.4030153224112709,0.5223417634747196,True
2025-07-08,2025-07-15,616.8023681640625,618.592041015625,151,176.8332023925759,0.2901533690425895,0.5431743763192142,True
2025-07-15,2025-07-22,618.592041015625,625.2737426757812,151,914.5206155395572,1.0801467230625805,0.5491047938003335,True
2025-07-22,2025-07-29,625.2737426757812,631.63720703125,150,859.7740722656308,1.0177085524552876,0.5417957501340671,True
2025-07-29,2025-08-05,631.63720703125,624.3887329101562,150,-1180.929428100586,-1.1475692122638215,0.5240978580457274,False
2025-08-05,2025-08-12,624.3887329101562,639.02490234375,150,2099.571679687506,2.34407968340129,0.5653633895413035,True
2025-08-12,2025-08-19,639.02490234375,636.1612548828125,149,-521.4714986572217,-0.4481276786608035,0.5388868323412076,False
2025-08-19,2025-08-26,636.1612548828125,641.4807739257812,149,697.0277020874055,0.8361903530180737,0.5422142848107367,True
2025-08-26,2025-09-03,641.4807739257812,640.06884765625,148,-303.6952773437515,-0.22010422243685657,0.5522703941315201,False
2025-09-03,2025-09-10,640.06884765625,648.4906005859375,148,1150.4428247070318,1.3157573533730815,0.5425821857535505,True
2025-09-10,2025-09-17,648.4906005859375,655.4208374023438,148,928.6727648925735,1.0686718990444044,0.5272739551316619,True
2025-09-19,2025-09-26,661.74462890625,659.8701782226562,146,-370.0108458251925,-0.2832589191833601,0.5428990911498895,False
2025-10-02,2025-10-09,667.248291015625,669.1826171875,144,182.18067187500128,0.2898960099142034,0.5229671630875051,True
2025-10-09,2025-10-16,669.1826171875,658.6936645507812,144,-1605.2610673828167,-1.5674275403032234,0.5388575133354931,False
2025-10-16,2025-10-23,658.6936645507812,669.7808837890625,144,1500.1111230468814,1.6832132803102917,0.5354924550592822,True
2025-10-24,2025-10-31,675.2546997070312,680.050537109375,142,584.4417348632851,0.7102264381757761,0.5371993836533252,True
2025-10-31,2025-11-07,680.050537109375,668.9931640625,142,-1665.1440019531292,-1.6259634311702076,0.5427981590999201,False
2025-11-07,2025-11-14,668.9931640625,669.9503784179688,142,40.79148474121757,0.1430828305712506,0.5640860322408765,True
2025-11-14,2025-11-21,669.9503784179688,657.08837890625,141,-1906.1913925781264,-1.9198436072371927,0.5467763470399614,False
2025-11-21,2025-12-01,657.08837890625,678.2658081054688,141,2890.3820381469704,3.222919454833373,0.5443434683781284,True
2025-12-01,2025-12-08,678.2658081054688,681.6159057617188,141,376.2559268188488,0.49392105811842946,0.5531691274631849,True
2025-12-08,2025-12-15,681.6159057617188,678.7244262695312,140,-499.82854858398787,-0.42420950974673133,0.5455793481051747,False
2025-12-15,2025-12-22,678.7244262695312,684.8300170898438,140,758.906512451169,0.89956845282122,0.5420467319401373,True
2025-12-22,2025-12-30,684.8300170898438,687.010009765625,140,209.01757324219216,0.31832609864927974,0.5301296984115433,True
2025-12-30,2026-01-07,687.010009765625,689.5800170898438,140,263.25982299805037,0.37408586304230607,0.5539473923300565,True
2026-01-07,2026-01-12,689.5800170898438,695.1599731445312,139,678.9866553344764,0.8091818086950919,0.5394074414480444,True
